"Close Date","Account Name","Lead Source Category","Opportunity Name","Fiscal Period","Opportunity Owner","Next Step","Type","Monthly Gross Profit","Age","Appraisal Start Date","Total Value","Referral Partner"
"9/9/2021","Dolls Kill","Outbound","Dolls Kill","Q3-2021","Pierre Le Veaux","","Private Equity","22553","9.0000000000","8/31/2021 2:35 PM","135315.00",""
"9/9/2021","Sambazon","Outbound","Sambazon-","Q3-2021","Sara Brooks","","Brand Strategy - New Business","53474","0.0000000000","","534743.13",""
"9/9/2021","Eclipse Foods","Inbound","Eclipse Foods-","Q3-2021","Kira Tirshfield","","Brand Strategy - New Business","9800","31.0000000000","","58800.00",""
"9/10/2021","Pet Lab","Inbound","Pet Lab","Q3-2021","Connor Sanner","","Rapid Growth Brands - New Business","30809","65.0000000000","","123236.48",""
"9/13/2021","Goldthread Tonics","Inbound","Goldthread Tonics","Q3-2021","Kira Tirshfield","","Brand Strategy - New Business","12121","59.0000000000","","145452.00",""
"9/13/2021","Even Health","Channel Partner","Even","Q3-2021","Brittany Arnold","","Commercial Velocity - New Business","11938","42.0000000000","","143250.00","Devin S Test Keller"
"9/14/2021","Gregarious, Inc.","Inbound","Gregarious Inc-","Q3-2021","Matt Levitt","","Rapid Growth Brands - New Business","11908","20.0000000000","","142891.88",""
"9/14/2021","MyFitnessPal","Inbound","MyFitnessPal-","Q3-2021","Zac Kyle","","Commercial Velocity - New Business","65131","25.0000000000","8/26/2021 1:24 PM","781572.00",""
"9/15/2021","Badgr","Outbound","Badgr","Q3-2021","Mike Iaco","","CV Strategic","11260","28.0000000000","","11260.00",""
"9/15/2021","Share Local Media","Channel Partner","Share Local Media","Q3-2021","Corey Eulas","","Strategic Accounts - New Business","20110","19.0000000000","","20109.60","Devin S Test Keller"
"9/15/2021","Natural High","Outbound","Natural High (YT Ads Project0","Q3-2021","Connor Sanner","","Commercial Velocity - New Business","1408","0.0000000000","","1407.50",""
"9/16/2021","Qapital","Channel Partner","Qapital","Q3-2021","Mike Iaco","","CV Strategic","9555","42.0000000000","","114660.00","Devin S Test Keller"
"9/16/2021","Lunchbox","Channel Partner","Lunchbox.io - Paid Acquisition Channels","Q3-2021","Pat Kreidler","","Commercial Velocity - New Business","16100","14.0000000000","9/2/2021 7:40 AM","96600.00","Andrew Gluck"
"9/16/2021","Re-Plate Inc.","Inbound","Replate-","Q3-2021","Zac Kyle","","Commercial Velocity - New Business","11460","22.0000000000","9/2/2021 3:22 PM","114600.00",""
"9/17/2021","Bondi Sands","Outbound","Bondi Sands-","Q3-2021","Kira Tirshfield","","Brand Strategy - New Business","5972","59.0000000000","","71662.50","Taylor Johnson"
"9/20/2021","Datavest","Outbound","Datavest Retainer","Q3-2021","Pierre Le Veaux","","Private Equity","14075","75.0000000000","","14075.01",""
"9/24/2021","Gartner","Channel Partner","Gartner","Q3-2021","Corey Eulas","","Strategic Accounts - New Business","20003","14.0000000000","","40006.00","Devin S Test Keller"
"9/24/2021","PlanHub Inc","Channel Partner","Planhub","Q3-2021","Corey Eulas","","Strategic Accounts - New Business","3901","74.0000000000","","46815.00","Devin S Test Keller"
"9/24/2021","Bandsintown Inc","Channel Partner","BandsinTown","Q3-2021","Corey Eulas","","Strategic Accounts - New Business","13950","0.0000000000","","13950.00",""
"9/24/2021","Wildling","Outbound","Wildling","Q3-2021","Brittany Arnold","","Commercial Velocity - New Business","7644","50.0000000000","","68796.00",""
"9/27/2021","goop.com","Channel Partner","goop-Paid + Creative","Q3-2021","Connor Sanner","","Rapid Growth Brands - New Business","24070","5.0000000000","","72210.00","Mint Digital  LLC"
"9/27/2021","goop.com","Channel Partner","goop - SEO","Q3-2021","Connor Sanner","","Rapid Growth Brands - New Business","11205","0.0000000000","","67230.00","Mint Digital  LLC"
"9/28/2021","Kari Gran","Channel Partner","Kari Gran-","Q3-2021","Pat Kreidler","","Commercial Velocity - New Business","16244","194.0000000000","","194922.00","Devin S Test Keller"
"9/28/2021","Laughland","Outbound","Laughland-","Q3-2021","Kira Tirshfield","","Brand Strategy - New Business","12797","19.0000000000","9/9/2021 12:07 PM","153564.00",""
"9/29/2021","Apollo.io","Channel Partner","Apollo.io","Q3-2021","Corey Eulas","","Strategic Accounts - New Business","46500","44.0000000000","","46500.00","Devin S Test Keller"
"9/29/2021","Graza","Outbound","Graza-","Q3-2021","Sara Brooks","","Brand Strategy - New Business","12000","99.0000000000","","72000.00",""
"9/29/2021","Clio Snacks","Outbound","Clio - PR Project","Q3-2021","Alexa Engelhart","","Brand Strategy - New Business","1350","1.0000000000","","1350.00",""
"9/30/2021","Summit Park (RuffleButts.com, smarTours.com)","Inbound","Summit Park (RuffleButts.com, smarTours.com)-","Q3-2021","Corey Eulas","","Strategic Accounts - New Business","12757","106.0000000000","","153084.00",""
"9/30/2021","Vici","Outbound","Vici-","Q3-2021","Brittany Arnold","","Commercial Velocity - New Business","40131","94.0000000000","","481572.00",""
"10/1/2021","Alfred","Outbound","Alfred-","Q4-2021","Matt Levitt","Waiting on signature from COO","Rapid Growth Brands - New Business","12893","45.0000000000","8/25/2021 7:21 AM","154710.00",""
"10/1/2021","Nectar Bath Treats","Channel Partner","Nectar Bath Treats","Q4-2021","Jake Mehani","","Commercial Velocity - New Business","13826","11.0000000000","9/27/2021 1:10 PM","165912.00",""
"10/4/2021","Teamflow","Outbound","Teamflow-","Q4-2021","Matt Levitt","Scope might be changing bc of team member fired","Rapid Growth Brands - New Business","20533","20.0000000000","","143727.50",""
"10/5/2021","Milton's Craft Bakers","Outbound","Milton's Craft Bakers","Q4-2021","Mike Iaco","","CV Strategic","13657","55.0000000000","","163884.00",""
"10/6/2021","SmartSweets","Outbound","SmartSweets Retainer","Q4-2021","Pierre Le Veaux","","Private Equity","54153","49.0000000000","","649836.00",""
