"Close Date","Account Name","Lead Source Category","Opportunity Name","Fiscal Period","Opportunity Owner","Next Step","Type","Monthly Gross Profit","Age","Appraisal Start Date","Total Value","Referral Partner"
"2/18/2021","Cove Hill Partners","Channel Partner","Covehill (202102)","Q1-2021","Corey Eulas","","Strategic Accounts - New Business","3584","0.0000000000","","3584.00","Devin S Test Keller"
"2/18/2021","abdy Lowy LLC","Channel Partner","abdy Lowy LLC","Q1-2021","Corey Eulas","","Strategic Accounts - New Business","13965","0.0000000000","","13965.00","Devin S Test Keller"
"2/18/2021","Bespoke Post","Outbound","Bespoke Post","Q1-2021","Kira Tirshfield","","Brand Strategy - New Business","8345","1.0000000000","","75105.00",""
"2/20/2021","BETTER BRANDS FOOD PRODUCTS, INC","Inbound","Better Brand","Q1-2021","Kira Tirshfield","","Brand Strategy - New Business","14237","0.0000000000","","113896.00",""
"2/22/2021","Territory Foods","Channel Partner","Territory Foods","Q1-2021","Kira Tirshfield","","Brand Strategy - New Business","9459","2.0000000000","","113508.00",""
"2/28/2021","LaVie Lactation Massager","Inbound","LaVie Mom","Q1-2021","Jake Mehani","","Commercial Velocity - New Business","9316","0.0000000000","","55896.78",""
"3/2/2021","BARK","Channel Partner","Barkbox (Project)","Q1-2021","Corey Eulas","","Strategic Accounts - New Business","20947","8.0000000000","","20947.00","Devin S Test Keller"
"3/2/2021","Violet Grey Inc","Outbound","Violet Grey","Q1-2021","Brittany Arnold","","Commercial Velocity - New Business","3500","217.0000000000","","3500.00",""
"3/2/2021","Try Minded","Outbound","Try Minded","Q1-2021","Jake Mehani","","Commercial Velocity - New Business","11700","8.0000000000","","70200.00",""
"3/2/2021","XR Health","Channel Partner","XR Health","Q1-2021","Jake Mehani","","Commercial Velocity - New Business","12740","22.0000000000","","38220.00",""
"3/3/2021","Cosmos Vita","Channel Partner","Cosmos Vita PR","Q1-2021","Kira Tirshfield","","Brand Strategy - New Business","9459","0.0000000000","","85131.00","Devin S Test Keller"
"3/4/2021","Home Advisor","Channel Partner","HomeAdvisor ORM","Q1-2021","Corey Eulas","","Strategic Accounts - New Business","12569","10.0000000000","","75414.00",""
"3/4/2021","Anchor World Wide","Channel Partner","Anchor World Wide (Spotify YT SEO Project)","Q1-2021","Corey Eulas","","Strategic Accounts - New Business","16292","0.0000000000","","16292.00","Devin S Test Keller"
"3/4/2021","Anchor World Wide","Channel Partner","Anchor World Wide (Spotify YT Scorecard Project)","Q1-2021","Corey Eulas","","Strategic Accounts - New Business","13965","0.0000000000","","13965.00","Devin S Test Keller"
"3/4/2021","NJOIE","Inbound","NJOIE","Q1-2021","Jake Mehani","","Commercial Velocity - New Business","9555","14.0000000000","","28665.00",""
"3/8/2021","Elenita","Channel Partner","Elenita - PR","Q1-2021","Kira Tirshfield","","Brand Strategy - New Business","8000","41.0000000000","1/27/2022 1:49 PM","96000.00","Team3XT"
"3/8/2021","Slumberkins","Channel Partner","Slumberkins","Q1-2021","Jake Mehani","","Commercial Velocity - New Business","8838","8.0000000000","","26514.00","Rick Desai"
"3/9/2021","Raen Optics","Outbound","RAEN Sunglasses","Q1-2021","Pat Kreidler","","Commercial Velocity - New Business","3822","27.0000000000","","22932.00",""
"3/10/2021","Society Nine","Channel Partner","Society Nine","Q1-2021","Mike Iaco","","CV Strategic","7044","0.0000000000","","7044.00","Devin S Test Keller"
"3/10/2021","Woo","Channel Partner","Woo-","Q1-2021","Pat Kreidler","","Commercial Velocity - New Business","6211","50.0000000000","","55899.00","Devin S Test Keller"
"3/10/2021","Tone It Up","Outbound","Tone it Up","Q1-2021","Zac Kyle","","Commercial Velocity - New Business","12422","15.0000000000","","149058.00",""
"3/11/2021","Virtual Kitchen Co","Outbound","Virtual Kitchen Co","Q1-2021","Universal Sales Rep","","Commercial Velocity - New Business","5733","51.0000000000","","34398.00",""
"3/12/2021","Memore","Inbound","Memore","Q1-2021","Kira Tirshfield","","Brand Strategy - New Business","9555","0.0000000000","","114660.00",""
"3/15/2021","Sweet Home Collection","Outbound","Sweet Home Collection","Q1-2021","Connor Sanner","","Rapid Growth Brands - New Business","13000","6.0000000000","","78000.00",""
"3/15/2021","Proven Skincare","Channel Partner","Proven Skincare","Q1-2021","Jake Mehani","","Commercial Velocity - New Business","13615","20.0000000000","","81690.00","Devin S Test Keller"
"3/15/2021","Bassett Creek Capital","Channel Partner","Bassett Creek Capital","Q1-2021","Alexa Engelhart","","Commercial Velocity - New Business","1225","0.0000000000","","1225.00","Devin S Test Keller"
"3/17/2021","Ultracor","Channel Partner","Ultracor","Q1-2021","Pat Kreidler","","Commercial Velocity - New Business","15686","35.0000000000","","188232.00","Devin S Test Keller"
"3/17/2021","Peter Manning","Inbound","Peter Manning NYC","Q1-2021","Corey Eulas","","Strategic Accounts - New Business","19030","15.0000000000","","114180.00",""
"3/17/2021","fluffnest inc","Inbound","fluffnest inc-","Q1-2021","Ben Rogers","","Commercial Velocity - New Business","9555","14.0000000000","","57330.00",""
"3/18/2021","Nature's Medicine","Channel Partner","Nature's Medicine-","Q1-2021","Mike Iaco","","CV Strategic","13186","0.0000000000","","13186.00","Devin S Test Keller"
"3/18/2021","O POSITIV","Inbound","O POSITIV","Q1-2021","Kira Tirshfield","","Brand Strategy - New Business","9268","3.0000000000","","111216.00",""
"3/18/2021","VAHA","Channel Partner","Vaha","Q1-2021","Jake Mehani","","Commercial Velocity - New Business","8838","21.0000000000","","35352.00","Devin S Test Keller"
"3/19/2021","Alaska Gold Seafood","Channel Partner","Alaska Gold Seafood - Website Project","Q1-2021","Pat Kreidler","","Commercial Velocity - New Business","57330","37.0000000000","","57330.00","Covet PR"
"3/19/2021","Alaska Gold Seafood","Channel Partner","Alaska Gold Seafood - Marketing Strategy","Q1-2021","Pat Kreidler","","Commercial Velocity - New Business","11848","37.0000000000","","142176.00","Covet PR"
"3/19/2021","HIG","Outbound","HIG","Q1-2021","Pierre Le Veaux","","Private Equity","13965","0.0000000000","","13965.00",""
"3/19/2021","Boyne Capital Partners LLC","Outbound","Boyne Capital","Q1-2021","Pierre Le Veaux","","Private Equity","9310","70.0000000000","","9310.00",""
"3/19/2021","DoubleStripe","Inbound","Just B","Q1-2021","Kira Tirshfield","","Brand Strategy - New Business","16758","170.0000000000","","201096.00",""
"3/19/2021","Pura Vida Bracelets","Inbound","Pura Vida Bracelets-","Q1-2021","Ben Rogers","","Commercial Velocity - New Business","11944","30.0000000000","","107493.75",""
"3/22/2021","Hippo Insurance","Channel Partner","Hippo Insurance","Q1-2021","Jake Mehani","","Commercial Velocity - New Business","11270","28.0000000000","","67620.00",""
"3/23/2021","Karen Kane","Outbound","Karen Kane","Q1-2021","Zac Kyle","","Commercial Velocity - New Business","12422","46.0000000000","","149064.00",""
"3/23/2021","Job Alerts India","Channel Partner","Skyworth","Q1-2021","Pierre Le Veaux","","Private Equity","58000","47.0000000000","","58000.00","Devin S Test Keller"
"3/24/2021","Within3 Inc","Inbound","Within3","Q1-2021","Corey Eulas","","Strategic Accounts - New Business","10094","58.0000000000","","121128.00",""
"3/24/2021","Territory Foods","Outbound","Territory Foods","Q1-2021","Jake Mehani","","Commercial Velocity - New Business","13281","29.0000000000","","79686.00",""
"3/25/2021","Cove Hill Partners","Channel Partner","Covehill (AMP Lighting DD)","Q1-2021","Corey Eulas","","Strategic Accounts - New Business","5446","0.0000000000","","5446.35",""
"3/25/2021","Kroma Wellness","Channel Partner","Kroma Super Foods","Q1-2021","Connor Sanner","","Rapid Growth Brands - New Business","13138","0.0000000000","","78828.78","Lauren Rinkey"
"3/26/2021","360 Quote LLC","Channel Partner","360Quote (4autoinsurancequote.com)","Q1-2021","Corey Eulas","","Strategic Accounts - New Business","13887","0.0000000000","","166649.04","Devin S Test Keller"
"3/30/2021","Stone Brewing","Inbound","Stone Brewing (Buenaveza)","Q1-2021","Kira Tirshfield","","Brand Strategy - New Business","13686","15.0000000000","","82116.00",""
"3/31/2021","Easyknock Inc","Channel Partner","easyknock","Q1-2021","Corey Eulas","","Strategic Accounts - New Business","9496","64.0000000000","","113954.40","Devin S Test Keller"
"3/31/2021","HBO Max","Outbound","HBO Max","Q1-2021","Ben Rogers","","Commercial Velocity - New Business","28331","49.0000000000","","84993.00",""
"4/2/2021","Boody Wear","Outbound","Boody Wear-","Q2-2021","Pat Kreidler","","Commercial Velocity - New Business","6497","5.0000000000","","77964.00",""
"4/2/2021","Løs Sundays Tequila","Outbound","Løs Sundays Tequila","Q2-2021","Kira Tirshfield","","Brand Strategy - New Business","9031","101.0000000000","","108372.00",""
"4/6/2021","Fresh Clean Tees","Channel Partner","Fresh Clean Tees-","Q2-2021","Pat Kreidler","","Commercial Velocity - New Business","12103","19.0000000000","","145236.00",""
"4/6/2021","Evercommerce","Channel Partner","EverCommerce","Q2-2021","Corey Eulas","","Strategic Accounts - New Business","18880","71.0000000000","","18880.00","Devin S Test Keller"
"4/6/2021","Munk Pack","Outbound","Munk Pack","Q2-2021","Ben Rogers","","Commercial Velocity - New Business","9396","61.0000000000","","112752.00",""
"4/7/2021","Orgain","Channel Partner","Orgain","Q2-2021","Zac Kyle","","Commercial Velocity - New Business","44745","69.0000000000","","536943.24","Devin S Test Keller"
"4/7/2021","prairie-capital.com","Outbound","Prairie Capital","Q2-2021","Pierre Le Veaux","","Private Equity","5000","2.0000000000","","5000.00",""
"4/7/2021","Toodaloo","Inbound","Toodaloo","Q2-2021","Kira Tirshfield","","Brand Strategy - New Business","8099","2.0000000000","","97188.00",""
"4/9/2021","GoTab, Inc.","Outbound","GoTab","Q2-2021","Universal Sales Rep","","Commercial Velocity - New Business","6889","16.0000000000","","41334.00",""
"4/9/2021","Boyne Capital Partners LLC","Channel Partner","Boyne A&A Nova","Q2-2021","Pierre Le Veaux","","Private Equity","5000","0.0000000000","","5000.00",""
"4/13/2021","Monica & Andy Inc","Channel Partner","Monica & Andy","Q2-2021","Jake Mehani","","Commercial Velocity - New Business","11227","15.0000000000","","67362.78","Devin S Test Keller"
"4/14/2021","Two Fish Crab Shack","Channel Partner","Two Fish Crab Shack","Q2-2021","Pierre Le Veaux","","Private Equity","5000","0.0000000000","","5000.00",""
"4/15/2021","Mirror","Channel Partner","Mirror","Q2-2021","Corey Eulas","","Strategic Accounts - New Business","70744","27.0000000000","","70744.01","Devin S Test Keller"
"4/15/2021","Safeguard Global","Channel Partner","Safeguard Global","Q2-2021","Corey Eulas","","Strategic Accounts - New Business","6160","70.0000000000","","73921.44","Devin S Test Keller"
"4/15/2021","Susquehanna Growth Equity LLC","Outbound","Rentable Diligence","Q2-2021","Pierre Le Veaux","","Private Equity","13000","0.0000000000","","13000.00",""
"4/19/2021","HighKey","Inbound","HighKey","Q2-2021","Brittany Arnold","","Commercial Velocity - New Business","28605","20.0000000000","","343260.00",""
"4/19/2021","Unsupervised","Inbound","Unsupervised-","Q2-2021","Brittany Arnold","","Commercial Velocity - New Business","28605","10.0000000000","","343260.00",""
"4/20/2021","OZOp Energy systems","Outbound","OZOp Energy systems-","Q2-2021","Mike Iaco","","CV Strategic","15548","0.0000000000","","15547.70",""
"4/20/2021","IBH (Integrated Behavioral Health)","Channel Partner","IBH Solutions","Q2-2021","Mike Iaco","","CV Strategic","19723","0.0000000000","","19723.00",""
"4/20/2021","Felix Gray","Channel Partner","Felix Gray","Q2-2021","Jake Mehani","","Commercial Velocity - New Business","22932","18.0000000000","","206388.00","Devin S Test Keller"
"4/20/2021","Karma and Luck","Channel Partner","Karma and Luck","Q2-2021","Jake Mehani","","Commercial Velocity - New Business","14700","39.0000000000","","58800.00",""
"4/21/2021","Gilliland CM","Channel Partner","Gilliland CM (Dev)","Q2-2021","Mike Iaco","","CV Strategic","1503","0.0000000000","","1503.00",""
"4/23/2021","Homedics","Inbound","Homedics-","Q2-2021","Pat Kreidler","","Commercial Velocity - New Business","22550","14.0000000000","","270600.00",""
"4/23/2021","Algenesis Footwear","Inbound","Algenesis Footwear (BlueView)","Q2-2021","Pat Kreidler","","Commercial Velocity - New Business","19110","71.0000000000","","114660.00",""
"4/23/2021","Algenesis Footwear","Inbound","Algenesis Footwear (BlueView) - Website Project","Q2-2021","Pat Kreidler","","Commercial Velocity - New Business","32487","0.0000000000","","32487.00",""
"4/23/2021","Alo Yoga","Channel Partner","Alo, LLC","Q2-2021","Corey Eulas","","Strategic Accounts - New Business","18620","4.0000000000","","18620.00","Devin S Test Keller"
"4/23/2021","Iris&Romeo","Inbound","Iris&Romeo","Q2-2021","Kira Tirshfield","","Brand Strategy - New Business","4562","63.0000000000","","54744.00",""
"4/26/2021","National Powersports Auction","Outbound","National Power Sports - Search Campaign","Q2-2021","Zac Kyle","","Commercial Velocity - New Business","6983","171.0000000000","","6982.50",""
"4/26/2021","Nomadica","Channel Partner","Nomadica","Q2-2021","Kira Tirshfield","","Brand Strategy - New Business","9031","4.0000000000","","72248.00","Devin S Test Keller"
"4/26/2021","Apostrophe","Channel Partner","Apostrophe - YouTube + Creative","Q2-2021","Jake Mehani","","Commercial Velocity - New Business","16500","4.0000000000","","99000.00","Devin S Test Keller"
"4/27/2021","Pattern Beauty","Channel Partner","Pattern Beauty","Q2-2021","Mike Iaco","","CV Strategic","3774","0.0000000000","","22644.00",""
"4/28/2021","Apostrophe","Channel Partner","Apostrophe (SEO, Content, PR)","Q2-2021","Corey Eulas","","Strategic Accounts - New Business","7692","30.0000000000","","46154.34","Devin S Test Keller"
"4/28/2021","Lazarus Naturals","Outbound","Lazarus Naturals-","Q2-2021","Ben Rogers","","Commercial Velocity - New Business","29859","54.0000000000","","268731.00",""
"4/29/2021","Spark Grills","Channel Partner","Spark Grills","Q2-2021","Pierre Le Veaux","","Private Equity","8000","0.0000000000","","8000.00",""
"4/29/2021","Freeman Spogli & Co.","Outbound","VOLT Diligence","Q2-2021","Pierre Le Veaux","","Private Equity","25000","0.0000000000","","25000.00",""
"4/29/2021","Snif.co","Outbound","Snif (Resign)","Q2-2021","Kira Tirshfield","","Brand Strategy - New Business","7193","0.0000000000","","28772.00",""
"4/29/2021","Poppi","Outbound","Poppi","Q2-2021","Kira Tirshfield","","Brand Strategy - New Business","9506","0.0000000000","","57036.00",""
"4/29/2021","Gorjana","Outbound","Gorjana-","Q2-2021","Brittany Arnold","","Commercial Velocity - New Business","16758","162.0000000000","","100548.00",""
"4/30/2021","Dr. Squatch","Outbound","Dr. Squatch Project","Q2-2021","Pierre Le Veaux","","Private Equity","15000","1.0000000000","","15000.00",""
"5/3/2021","360 Quote LLC","Channel Partner","360 Quote (May Diligence)","Q2-2021","Corey Eulas","","Strategic Accounts - New Business","9310","0.0000000000","","9310.00",""
"5/3/2021","Cesarina Pasta","Outbound","Cesarina Pasta","Q2-2021","Zac Kyle","","Commercial Velocity - New Business","42998","48.0000000000","","42997.50",""
"5/3/2021","Chomps","Outbound","CHOMPS","Q2-2021","Kira Tirshfield","","Brand Strategy - New Business","9031","35.0000000000","","108372.00",""
"5/3/2021","MUTHA?","Outbound","MUTHA","Q2-2021","Kira Tirshfield","","Brand Strategy - New Business","9031","28.0000000000","","108372.00",""
"5/3/2021","Hummingway","Channel Partner","Hummingway","Q2-2021","Kira Tirshfield","","Brand Strategy - New Business","8875","11.0000000000","","106500.00","Devin S Test Keller"
"5/3/2021","Geometry","Inbound","Geometry","Q2-2021","Jake Mehani","","Commercial Velocity - New Business","22693","13.0000000000","","136158.78",""
"5/4/2021","MD Biologics","Channel Partner","MD Biologics","Q2-2021","Pat Kreidler","","Commercial Velocity - New Business","7584","114.0000000000","","60672.00","Redline Ventures,  LLC"
"5/4/2021","Organi Brands","Channel Partner","Organi Brands","Q2-2021","Pierre Le Veaux","","Private Equity","7500","1.0000000000","","7500.00","Devin S Test Keller"
"5/4/2021","Freeman Spogli & Co.","Channel Partner","Brooklinen","Q2-2021","Pierre Le Veaux","","Private Equity","15000","1.0000000000","","15000.00",""
"5/5/2021","Kendra Scott","Channel Partner","Kendra Scott","Q2-2021","Connor Sanner","","Rapid Growth Brands - New Business","14000","5.0000000000","","112000.00","Leslie Scofield"
"5/7/2021","Cove Hill Partners","Channel Partner","Covehill (Jiffy Diligence)","Q2-2021","Corey Eulas","","Strategic Accounts - New Business","22344","0.0000000000","","22344.00",""
"5/7/2021","MD Bio","Channel Partner","MD Bio","Q2-2021","Zac Kyle","","Commercial Velocity - New Business","7584","120.0000000000","","60672.00","Redline Ventures,  LLC"
"5/11/2021","LiveFreeda","Channel Partner","LiveFreeda","Q2-2021","Corey Eulas","","Strategic Accounts - New Business","9310","22.0000000000","","9310.00","Devin S Test Keller"
"5/11/2021","Dare To Roam","Inbound","Dare To Roam","Q2-2021","Kira Tirshfield","","Brand Strategy - New Business","13686","1.0000000000","","164232.00",""
"5/12/2021","Fifth Avenue Eyewear","Channel Partner","Sak's 5th","Q2-2021","Corey Eulas","","Strategic Accounts - New Business","25975","79.0000000000","","129874.50","Devin S Test Keller"
"5/19/2021","Pura Vida Bracelets","Inbound","Pura Vida Bracelets- Email","Q2-2021","Ben Rogers","","Commercial Velocity - New Business","14532","50.0000000000","","130788.00",""
"5/20/2021","Cometeer","Channel Partner","Cometeer","Q2-2021","Jake Mehani","","Commercial Velocity - New Business","29806","73.0000000000","","268256.61","Devin S Test Keller"
"5/21/2021","EMCEE Society","Inbound","EMCEE Society","Q2-2021","Corey Eulas","","Strategic Accounts - New Business","16758","60.0000000000","","100548.00",""
"5/21/2021","Fit & Fresh","Inbound","Fit + Fresh","Q2-2021","Connor Sanner","","Rapid Growth Brands - New Business","7448","0.0000000000","","44688.00",""
"5/21/2021","Gainful","Channel Partner","Gainful","Q2-2021","Connor Sanner","","Brand Strategy - New Business","9800","0.0000000000","","58800.00","Devin S Test Keller"
"5/21/2021","Fit & Fresh","Inbound","Fit + Fresh","Q2-2021","Kira Tirshfield","","Brand Strategy - New Business","7448","0.0000000000","","44688.00",""
"5/24/2021","Brainiac Kids","Channel Partner","Brainiac Kids","Q2-2021","Connor Sanner","","Brand Strategy - New Business","26500","0.0000000000","","159000.00","Devin S Test Keller"
"5/27/2021","Shik?","Inbound","Shik?","Q2-2021","Kira Tirshfield","","Brand Strategy - New Business","13686","17.0000000000","","109488.00",""
"5/28/2021","Found","Channel Partner","Join Found","Q2-2021","Corey Eulas","","Strategic Accounts - New Business","6682","91.0000000000","","40092.00","Devin S Test Keller"
"5/28/2021","Recipe for Tmrw","Inbound","Above Foods / Recipe for Tomorrow","Q2-2021","Sara Brooks","","Brand Strategy - New Business","23912","232.0000000000","","143472.00",""
"6/1/2021","Talkspace","Channel Partner","Talkspace","Q2-2021","Corey Eulas","","Strategic Accounts - New Business","52757","74.0000000000","","316542.00","Devin S Test Keller"
"6/4/2021","Ethernity","Outbound","Ethernity","Q2-2021","Kira Tirshfield","","Brand Strategy - New Business","9310","0.0000000000","","111720.00",""
"6/4/2021","Flow Water Inc","Channel Partner","Flow Hydration","Q2-2021","Jake Mehani","","Commercial Velocity - New Business","14896","86.0000000000","","178752.00","Devin S Test Keller"
"6/7/2021","Quadpay Inc","Channel Partner","Quadpay","Q2-2021","Corey Eulas","","Strategic Accounts - New Business","18620","110.0000000000","","55860.00","Devin S Test Keller"
"6/7/2021","Ondo State Government","Outbound","ONDO","Q2-2021","Jake Mehani","","Commercial Velocity - New Business","13855","33.0000000000","","124692.75",""
"6/7/2021","Immersive Van Gogh Exhibits","Outbound","Van Gogh Exhibit","Q2-2021","Jake Mehani","","Commercial Velocity - New Business","33516","11.0000000000","","33516.00",""
"6/8/2021","Next Gear Solutions","Outbound","Next Gear Solutions-","Q2-2021","Brittany Arnold","","Commercial Velocity - New Business","64239","60.0000000000","","64239.00",""
"6/10/2021","Shaped by an Angel","Channel Partner","Shaped By An Angel-","Q2-2021","Pat Kreidler","","Commercial Velocity - New Business","2771","4.0000000000","","2770.95","Devin S Test Keller"
"6/10/2021","heal.me","Channel Partner","heal.me","Q2-2021","Corey Eulas","","Strategic Accounts - New Business","4655","0.0000000000","","4655.00","Devin S Test Keller"
"6/11/2021","Rady Children?s Hospital-San Diego","Outbound","Rady Hospital - Grant for Cerebral Palsy Center","Q2-2021","Jeff Mason","","Commercial Velocity - New Business","17844","0.0000000000","","17844.00",""
"6/11/2021","Dahlicious LLC","Inbound","DAH!","Q2-2021","Kira Tirshfield","","Brand Strategy - New Business","9962","0.0000000000","","119544.00",""
"6/11/2021","Leigh Winters","Inbound","Leigh Winters Beauty","Q2-2021","Brittany Arnold","","Commercial Velocity - New Business","19050","91.0000000000","","228603.38",""
"6/15/2021","Voyage Foods","Channel Partner","Voyage Foods-","Q2-2021","Sara Brooks","","Brand Strategy - New Business","11760","0.0000000000","","70560.00","Devin S Test Keller"
"6/15/2021","Happy Skin","Inbound","HPPY","Q2-2021","Kira Tirshfield","","Brand Strategy - New Business","26270","1.0000000000","","157620.00",""
"6/15/2021","Amkiri","Channel Partner","Amkiri","Q2-2021","Jake Mehani","","Commercial Velocity - New Business","10000","56.0000000000","","60000.00","Devin S Test Keller"
"6/15/2021","Good Planet Foods","Channel Partner","Good Planet Foods - Paid Social, Search, PR","Q2-2021","Alexa Engelhart","","Brand Strategy - New Business","17199","0.0000000000","","103194.00",""
"6/16/2021","SmartSweets","Inbound","SmartSweets","Q2-2021","Kira Tirshfield","","Brand Strategy - New Business","13686","0.0000000000","","164232.00",""
"6/16/2021","Still Novel","Inbound","Still Novel, Inc-","Q2-2021","Ben Rogers","","Commercial Velocity - New Business","18055","34.0000000000","","216659.63",""
"6/17/2021","YETI","Channel Partner","Yeti (SM)","Q2-2021","Jeff Mason","","Rapid Growth Brands - New Business","14700","90.0000000000","","176400.00",""
"6/17/2021","Republic Of Tea Inc","Outbound","The Republic of Tea","Q2-2021","Zac Kyle","","Commercial Velocity - New Business","18202","132.0000000000","","109213.65",""
"6/18/2021","Local Bounti","Inbound","Local Bounti","Q2-2021","Kira Tirshfield","","Brand Strategy - New Business","13686","0.0000000000","","164232.00",""
"6/21/2021","Qui Tequila","Channel Partner","Qui Tequila-","Q2-2021","Pat Kreidler","","Commercial Velocity - New Business","11944","94.0000000000","","143325.00","Jay Faires"
"6/22/2021","prairie-capital.com","Channel Partner","Lief Organics","Q2-2021","Pierre Le Veaux","","Private Equity","20000","9.0000000000","","20000.00",""
"6/23/2021","Ferret","Inbound","Ferret-","Q2-2021","Zac Kyle","","Commercial Velocity - New Business","26772","38.0000000000","","160629.11",""
"6/24/2021","Averr Aglow Skincare","Outbound","Averr Aglow Skincare-","Q2-2021","Brittany Arnold","","Commercial Velocity - New Business","94053","58.0000000000","","282159.15",""
"6/24/2021","Hive Brands","Channel Partner","Hive Brand","Q2-2021","Jake Mehani","","Commercial Velocity - New Business","15000","43.0000000000","","90000.00","Devin S Test Keller"
"6/25/2021","ikoo","Channel Partner","ikoo","Q2-2021","Kira Tirshfield","","Brand Strategy - New Business","1815","0.0000000000","","1815.00",""
"6/25/2021","Lalo","Outbound","Lalo - Creative Services","Q2-2021","Jake Mehani","","Commercial Velocity - New Business","7448","38.0000000000","","29792.00",""
"6/29/2021","True Impact Media","Channel Partner","True Impact Media-","Q2-2021","Matt Levitt","","Rapid Growth Brands - New Business","6872","33.0000000000","","61844.74","Siege Media,  LLC"
"6/29/2021","Real Good Foods","Inbound","Real Good Foods","Q2-2021","Kira Tirshfield","","Brand Strategy - New Business","18341","0.0000000000","","146728.00",""
"6/30/2021","Periscope Equity LLC","Outbound","Mas Medical","Q2-2021","Pierre Le Veaux","","Private Equity","32472","24.0000000000","","227303.65",""
"6/30/2021","Little Passports","Channel Partner","Little Passports - Email Marketing + CRO","Q2-2021","Jake Mehani","","Commercial Velocity - New Business","20455","64.0000000000","","143187.80","Devin S Test Keller"
"6/30/2021","DRNXMYTH","Outbound","DRNXMYTH-","Q2-2021","Ben Rogers","","Commercial Velocity - New Business","7076","119.0000000000","","42453.60",""
"7/1/2021","Issuer Direct Corporation","Inbound","Issuer Direct-","Q3-2021","Matt Levitt","","Rapid Growth Brands - New Business","17125","35.0000000000","","154122.15",""
"7/1/2021","Qdoba Restaurant Corporation","Inbound","Qdoba Mexican Eats-","Q3-2021","Pat Kreidler","","Commercial Velocity - New Business","10940","49.0000000000","","131285.70",""
"7/1/2021","Suja Juice","Channel Partner","Suja","Q3-2021","Sara Brooks","","Brand Strategy - New Business","8000","0.0000000000","","8000.00",""
"7/6/2021","Murad","Outbound","Murad-","Q3-2021","Brittany Arnold","","Commercial Velocity - New Business","7680","83.0000000000","","92157.98",""
"7/7/2021","Novatech","Outbound","Novatech","Q3-2021","Matt Levitt","","Rapid Growth Brands - New Business","30809","322.0000000000","","369702.06",""
"7/7/2021","Kiva.org","Channel Partner","Kiva","Q3-2021","Pierre Le Veaux","","Private Equity","-3040","7.0000000000","","-3040.08","Devin S Test Keller"
"7/7/2021","Novatech","Outbound","Novatech","Q3-2021","Alexa Engelhart","","Private Equity","81237","0.0000000000","","81237.00",""
"7/8/2021","Bioelements","Outbound","Bioelements-","Q3-2021","Kira Tirshfield","","Brand Strategy - New Business","5000","24.0000000000","","60000.00",""
"7/12/2021","Jenny Craig","Channel Partner","Jenny Craig","Q3-2021","Sara Brooks","","Brand Strategy - New Business","5684","0.0000000000","","34104.00",""
"7/13/2021","WP Engine","Channel Partner","WPEngine","Q3-2021","Corey Eulas","","Strategic Accounts - New Business","80299","29.0000000000","","481792.50","Devin S Test Keller"
"7/14/2021","Honey Baby Naturals","Channel Partner","Honey Baby Audit Paid","Q3-2021","Pierre Le Veaux","","Private Equity","4696","7.0000000000","","4695.84","Gary Coichy"
"7/15/2021","Aven","Outbound","Aven - Creative","Q3-2021","Jake Mehani","","Commercial Velocity - New Business","11172","31.0000000000","","44688.00",""
"7/19/2021","Bonterra","Inbound","Bonterra","Q3-2021","Kira Tirshfield","","Brand Strategy - New Business","10893","7.0000000000","","87144.00",""
"7/19/2021","The Skinny Confidential","Outbound","The Skinny Confidential-","Q3-2021","Kira Tirshfield","","Brand Strategy - New Business","5586","46.0000000000","","67032.00",""
"7/20/2021","Growth Marketing Pro","Outbound","Growth Marketing Pro","Q3-2021","Antonio Johnson","","Commercial Velocity - New Business","430","5.0000000000","","1289.94",""
"7/21/2021","Ripple Foods","Channel Partner","Ripple","Q3-2021","Connor Sanner","","Brand Strategy - New Business","9800","13.0000000000","","117600.00","Devin S Test Keller"
"7/22/2021","Tru Grit Fitness","Inbound","Tru Grit Fitness-","Q3-2021","Zac Kyle","","Commercial Velocity - New Business","24353","42.0000000000","","292239.72",""
"7/22/2021","Rey","Inbound","Rey","Q3-2021","Kira Tirshfield","","Brand Strategy - New Business","22065","7.0000000000","","176520.00",""
"7/22/2021","Owl Venice","Channel Partner","Owl Venice - Paid Social + Creative","Q3-2021","Jake Mehani","","Commercial Velocity - New Business","9310","9.0000000000","","55860.00","Leslie Scofield"
"7/23/2021","Set & Stones","Outbound","Set & Stones Organic Social + Email","Q3-2021","Jeff Mason","","Brand Strategy - New Business","4379","0.0000000000","","26276.25",""
"7/23/2021","Carrus","Outbound","Carrus","Q3-2021","Pierre Le Veaux","","Private Equity","17500","0.0000000000","","17500.00",""
"7/23/2021","MasterPeace","Channel Partner","MasterPeace","Q3-2021","Pierre Le Veaux","","Private Equity","7000","165.0000000000","","7000.00","Devin S Test Keller"
"7/23/2021","Great Jones","Channel Partner","Great Jones","Q3-2021","Jake Mehani","","Commercial Velocity - New Business","16293","39.0000000000","","146632.50","Lauren Rinkey"
"7/26/2021","Wildpack Beverages","Inbound","Wildpack Beverages-","Q3-2021","Matt Levitt","","Rapid Growth Brands - New Business","21053","34.0000000000","","252634.20",""
"7/26/2021","Cove Hill Partners","Channel Partner","Covehill (072021 Diligence Project)","Q3-2021","Corey Eulas","","Strategic Accounts - New Business","3720","0.0000000000","","3720.00",""
