"Account Name","Opportunity Name","Fiscal Period","Next Step","Type","Deal Velocity","Monthly Deal Value (Gross Profit)","Age","Appraisal Start Date","Close Date","Opportunity Owner","Lead Source Category"
"UC San Diego Health","UC San Diego Health-","Q3-2021","","Commercial Velocity - New Business","59.00","1000","59.0000000000","","9/30/2021","Zac Kyle","Inbound"
"Sahara Dental Center","Sahara Dental-","Q3-2021","","Commercial Velocity - New Business","62.00","1000","62.0000000000","","9/30/2021","Zac Kyle","Inbound"
"Timeshare Defense Attorneys","Timeshare Defense Attorneys","Q3-2021","","Commercial Velocity - New Business","62.00","0","62.0000000000","","9/30/2021","Zac Kyle","Inbound"
"Anytime Doc","Anytime Doc, Inc-","Q3-2021","","Commercial Velocity - New Business","73.00","1000","73.0000000000","","9/30/2021","Zac Kyle","Inbound"
"WW AUNZ (formerly Weight Watchers)","WW, International-","Q3-2021","","Commercial Velocity - New Business","77.00","0","77.0000000000","","9/30/2021","Zac Kyle","Inbound"
"Bloom Dental Group","Bloom Dental Group-","Q3-2021","","Commercial Velocity - New Business","86.00","0","86.0000000000","","9/30/2021","Zac Kyle","Inbound"
"Unveiled Worldwide","Unveiled Worldwide-","Q3-2021","","Commercial Velocity - New Business","96.00","2000","96.0000000000","","9/1/2021","Zac Kyle","Inbound"
"Segway Inc","Segway Inc-","Q3-2021","","Commercial Velocity - New Business","158.00","33679","158.0000000000","","9/24/2021","Zac Kyle","Inbound"
"Pursuant","Pursuant-","Q3-2021","","Commercial Velocity - New Business","17.00","1000","17.0000000000","","9/27/2021","Zac Kyle","Outbound"
"Aria (Res Med)","Aria (Res Med)-","Q3-2021","","Commercial Velocity - New Business","27.00","17246","27.0000000000","8/26/2021 1:24 PM","9/16/2021","Zac Kyle","Outbound"
"The Prehab Guys","The Prehab Guys-","Q3-2021","","Commercial Velocity - New Business","37.00","1000","37.0000000000","","9/30/2021","Zac Kyle","Outbound"
"9am.health","9 AM Health-","Q3-2021","","Commercial Velocity - New Business","39.00","1000","39.0000000000","","9/7/2021","Zac Kyle","Outbound"
"Adamson Ahdoot LLP","Adamson Ahdoot LLP - Web Dev","Q3-2021","","Commercial Velocity - New Business","61.00","67150","61.0000000000","","9/1/2021","Zac Kyle","Outbound"
"TOOTRiS","TOOTRiS-","Q3-2021","","Commercial Velocity - New Business","66.00","1000","66.0000000000","","9/30/2021","Zac Kyle","Outbound"
"Scripps Health","Scripps Health-","Q3-2021","","Commercial Velocity - New Business","100.00","5733","100.0000000000","","9/1/2021","Zac Kyle","Outbound"
"DermTech","DermTech-","Q3-2021","","Commercial Velocity - New Business","112.00","15000","112.0000000000","","9/1/2021","Zac Kyle","Outbound"
"Bristle","Bristle Health-","Q3-2021","","Commercial Velocity - New Business","192.00","0","192.0000000000","","9/30/2021","Zac Kyle","Outbound"
"United Dwelling","United Dwelling-","Q3-2021","","Commercial Velocity - New Business","237.00","20000","237.0000000000","","9/30/2021","Zac Kyle","Outbound"
"Clio Snacks","Clio","Q4-2021","","Brand Strategy - New Business","31.00","18879","31.0000000000","","10/29/2021","Alexa Engelhart","Outbound"
"Crafthouse Cocktails","Crafthouse Cocktails-","Q4-2021","","Commercial Velocity - New Business","45.00","1000","45.0000000000","","10/29/2021","Alex Serna","Channel Partner"
"Stork","Stork-","Q4-2021","","Commercial Velocity - New Business","100.00","5000","100.0000000000","","10/31/2021","Alex Serna","Channel Partner"
"Cheekbone Beauty Cosmetics INC","Cheekbone Beauty Cosmetics INC-","Q4-2021","","Commercial Velocity - New Business","1.00","10000","1.0000000000","","10/20/2021","Alex Serna","Inbound"
"KCR CONSULTING LIMITED","RAF FIVE-","Q4-2021","","Commercial Velocity - New Business","6.00","1000","6.0000000000","","10/11/2021","Alex Serna","Inbound"
"Greene Music & Music Exchange","Greene Music & Music Exchange-","Q4-2021","","Commercial Velocity - New Business","6.00","1000","6.0000000000","","10/11/2021","Alex Serna","Inbound"
"Blue & Yellow Project","Blue and Yellow Project-","Q4-2021","","Commercial Velocity - New Business","14.00","3247","14.0000000000","10/13/2021 11:41 AM","10/26/2021","Alex Serna","Inbound"
"Lizush","Lizush-","Q4-2021","","Commercial Velocity - New Business","38.00","17508","38.0000000000","9/8/2021 6:00 PM","10/1/2021","Alex Serna","Inbound"
"House work","Housework-","Q4-2021","","Commercial Velocity - New Business","63.00","1000","63.0000000000","","10/15/2021","Alex Serna","Inbound"
"Warmies","Warmies-","Q4-2021","","Commercial Velocity - New Business","69.00","9359","69.0000000000","9/2/2021 3:22 PM","10/4/2021","Alex Serna","Inbound"
"Aria Vents Inc.","Aria Vents Inc.-","Q4-2021","","Commercial Velocity - New Business","74.00","1000","74.0000000000","","10/31/2021","Alex Serna","Inbound"
"Little Yawn Collective","Little Yawn Collective-","Q4-2021","","Commercial Velocity - New Business","95.00","23262","95.0000000000","8/24/2021 9:17 AM","10/26/2021","Alex Serna","Inbound"
"Jamie Kay","Jamie Kay","Q4-2021","","Commercial Velocity - New Business","108.00","28474","108.0000000000","","10/31/2021","Alex Serna","Inbound"
"Moxxii Consulting","Lana Unlimited","Q4-2021","","Commercial Velocity - New Business","134.00","28569","134.0000000000","","10/21/2021","Alex Serna","Inbound"
"AquaLounge","AquaLounge","Q4-2021","","Commercial Velocity - New Business","632.00","5000","747.0000000000","","10/21/2021","Alex Serna","Inbound"
"Arrae","Arrae-","Q4-2021","","Commercial Velocity - New Business","51.00","0","51.0000000000","10/5/2021 7:34 AM","10/31/2021","Alex Serna","Outbound"
"Stash Monkey","Stash Monkey-","Q4-2021","","Commercial Velocity - New Business","8.00","1000","8.0000000000","","10/8/2021","Ben Rogers","Channel Partner"
"Revo","Revo-","Q4-2021","","Commercial Velocity - New Business","23.00","11160","23.0000000000","10/11/2021 1:58 PM","10/29/2021","Ben Rogers","Channel Partner"
"Wolf & Shepherd","Wolf & Shepherd-","Q4-2021","","Rapid Growth Brands - New Business","25.00","8945","25.0000000000","10/6/2021 8:18 PM","10/22/2021","Ben Rogers","Channel Partner"
"BANGS Shoes","BANGS Shoes-","Q4-2021","","Rapid Growth Brands - New Business","29.00","10000","29.0000000000","","10/13/2021","Ben Rogers","Channel Partner"
"San Diego Hat Company","San Diego Hat Company-","Q4-2021","","Rapid Growth Brands - New Business","5.00","1000","5.0000000000","","10/4/2021","Ben Rogers","Inbound"
"Grey State Apparel","Grey State Apparel-","Q4-2021","","Commercial Velocity - New Business","10.00","1000","10.0000000000","","10/8/2021","Ben Rogers","Inbound"
"Idea Nest","Idea Nest (Famous In Real Life and Allegiant Goods Co.)-","Q4-2021","","Commercial Velocity - New Business","20.00","26167","20.0000000000","10/11/2021 1:57 PM","10/26/2021","Ben Rogers","Inbound"
"Snibbs","Snibbs Footwear-","Q4-2021","","Rapid Growth Brands - New Business","38.00","10000","38.0000000000","10/25/2021 12:56 PM","10/24/2021","Ben Rogers","Inbound"
"About Face","About Face-","Q4-2021","","Rapid Growth Brands - New Business","38.00","17668","38.0000000000","","10/29/2021","Ben Rogers","Inbound"
"Pilgrim","Pilgrim-","Q4-2021","","Commercial Velocity - New Business","49.00","1000","49.0000000000","","10/1/2021","Ben Rogers","Inbound"
"Top Shelf, Inc.","Top Shelf, Inc.-","Q4-2021","","Rapid Growth Brands - New Business","49.00","7000","49.0000000000","8/27/2021 12:55 PM","10/13/2021","Ben Rogers","Inbound"
"Kay Unger Phoebe Enterprises","Kay Unger-","Q4-2021","","Rapid Growth Brands - New Business","57.00","15000","57.0000000000","8/19/2021 1:45 PM","10/15/2021","Ben Rogers","Inbound"
"Imogene + Willie","Imogene + Willie","Q4-2021","","Commercial Velocity - New Business","66.00","20000","66.0000000000","8/30/2021 3:53 PM","10/15/2021","Ben Rogers","Inbound"
"JS Group","Halston","Q4-2021","","Rapid Growth Brands - New Business","79.00","15000","79.0000000000","8/19/2021 1:25 PM","10/15/2021","Ben Rogers","Inbound"
"Conscious Step","Conscious Step-","Q4-2021","","Rapid Growth Brands - New Business","88.00","25000","88.0000000000","10/5/2021 8:21 AM","10/15/2021","Ben Rogers","Inbound"
"Anne Cole Collection","Anne Cole-","Q4-2021","","Rapid Growth Brands - New Business","165.00","27789","165.0000000000","","10/4/2021","Ben Rogers","Inbound"
"For Bare Feet","For Bare Feet-","Q4-2021","","Commercial Velocity - New Business","3.00","46917","3.0000000000","","10/21/2021","Ben Rogers","Outbound"
"TaDah Foods","TaDah Foods-","Q4-2021","","Commercial Velocity - New Business","9.00","1000","9.0000000000","","10/8/2021","Ben Rogers","Outbound"
