"Account Name","Opportunity Name","Fiscal Period","Next Step","Type","Deal Velocity","Monthly Deal Value (Gross Profit)","Age","Appraisal Start Date","Stage","Lead Source","Annual Revenue","Industry","Contact: Title","Close Date","Opportunity Owner","Lead Source Category"
"Shore Capital Partners LLC","Southern Veterinary Partners","Q3-2021","","Private Equity - Diligence","68.00","1","68.0000000000","","SDR Nurture","Current Client","1000000","Unknown","","7/12/2021","Pierre Le Veaux","Channel Partner"
"Opya Inc","Opya","Q3-2021","","Private Equity - Marketing Deal","107.00","0","107.0000000000","","Closed Lost","Current Client","50000000","","","7/30/2021","Pierre Le Veaux","Channel Partner"
"MasterPeace","MasterPeace","Q3-2021","","Private Equity - Marketing Deal","165.00","7000","165.0000000000","","Closed Won","Referral Partner","","","","7/23/2021","Pierre Le Veaux","Channel Partner"
"Conscious Data Centers","Conscious Data Centers","Q3-2021","","Private Equity - Diligence","168.00","10000","168.0000000000","","Disqualified","Referral Partner","","Business Finance","","7/22/2021","Pierre Le Veaux","Channel Partner"
"Carrus","Carrus","Q3-2021","","Private Equity - Diligence","0.00","17500","0.0000000000","","Closed Won","","5470000","Education","","7/23/2021","Pierre Le Veaux","Other"
"Kohlberg & Company","Kohlberg (SavATree)","Q3-2021","","Private Equity - Diligence","1.00","14088","1.0000000000","","Closed Won","Outbound","15700000","Business Finance","","7/29/2021","Pierre Le Veaux","Outbound"
"Family Christian Center","Family Christian Center","Q3-2021","","Private Equity - Marketing Deal","1.00","27900","1.0000000000","","Closed Won","Outbound","","Religious Organizations","","7/30/2021","Pierre Le Veaux","Outbound"
"Southern Sports Medicine Partners","Southern Sports Medicine Partners","Q3-2021","","Private Equity - Diligence","172.00","10000","172.0000000000","","Closed Lost","Employee Referral","","","","7/30/2021","Pierre Le Veaux","Outbound"
"Suja Juice","Suja","Q3-2021","","Brand Strategy - New Business","-15.00","8000","0.0000000000","","Closed Won","Current Client","95000000","Food/Beverage","","7/1/2021","Sara Brooks","Channel Partner"
"Jenny Craig","Jenny Craig","Q3-2021","","Brand Strategy - New Business","0.00","5684","0.0000000000","","Closed Won","Current Client","483000000","Health, Wellness and Fitness","","7/12/2021","Sara Brooks","Channel Partner"
"Jenny Craig","jenny craig","Q3-2021","","Brand Strategy - New Business","0.00","21687","0.0000000000","","Closed Won","","483000000","Health, Wellness and Fitness","","7/30/2021","Sara Brooks","Other"
"Health Sense Ai - Braden Scale Licensing","Health Sense Ai - Braden Scale Licensing-","Q3-2021","","Commercial Velocity - New Business","57.00","50000","57.0000000000","","Disqualified","Referral Partner","","Healthcare","","7/15/2021","Zac Kyle","Channel Partner"
"HD Nursing","HD Nursing-","Q3-2021","","Commercial Velocity - New Business","58.00","50000","58.0000000000","","Disqualified","Referral Partner","","Healthcare","President","7/15/2021","Zac Kyle","Channel Partner"
"Pumpkin Care","Pumpkin Care SEO","Q3-2021","","Commercial Velocity - New Business","73.00","10000","73.0000000000","","Disqualified","Referral Partner","","","","7/1/2021","Zac Kyle","Channel Partner"
"CrossNet","CrossNet-","Q3-2021","","Commercial Velocity - New Business","75.00","0","75.0000000000","","Disqualified","Referral Partner","2000000","Fitness","Co-Founder & Chief Marketing Officer","7/30/2021","Zac Kyle","Channel Partner"
"Mindshare Collaborative","Mindshare Collaborative","Q3-2021","","Commercial Velocity - New Business","139.00","24234","139.0000000000","","Disqualified","Referral Partner","","","","7/1/2021","Zac Kyle","Channel Partner"
"Stone Arch Group, LLC","Stone Arch Group-","Q3-2021","","Commercial Velocity - New Business","37.00","15000","37.0000000000","","Disqualified","Website","","Automotive","Vice President Business Strategy","7/15/2021","Zac Kyle","Inbound"
"Tru Grit Fitness","Tru Grit Fitness-","Q3-2021","","Commercial Velocity - New Business","42.00","24353","42.0000000000","","Closed Won","Website","","Fitness","","7/22/2021","Zac Kyle","Inbound"
"Sprinter Health","Sprinter Health-","Q3-2021","","Commercial Velocity - New Business","44.00","10000","44.0000000000","","Disqualified","Website","","Healthcare","VP of Marketing & Finance","7/15/2021","Zac Kyle","Inbound"
"Mosaic Foods","Mosaic Foods-","Q3-2021","","Commercial Velocity - New Business","46.00","5000","46.0000000000","","Disqualified","Website","","Food/Beverage","Growth Marketing Manager","7/31/2021","Zac Kyle","Inbound"
"Guaranteed Rate","Guaranteed Rate Insurance-","Q3-2021","","Commercial Velocity - New Business","49.00","10000","49.0000000000","","Disqualified","Website","378000000","Software/Technology","","7/15/2021","Zac Kyle","Inbound"
"Los Angeles Marathon","McCourt Foundation-","Q3-2021","","Commercial Velocity - New Business","51.00","5000","51.0000000000","","Disqualified","Website","2167000","Fitness","Senior Director of Marketing","7/30/2021","Zac Kyle","Inbound"
"Shop Basquet","Shop Basquet-","Q3-2021","","Commercial Velocity - New Business","52.00","20000","52.0000000000","","Disqualified","Clutch","","Food/Beverage","","7/15/2021","Zac Kyle","Inbound"
"SpotOn","SpotOn-","Q3-2021","","Commercial Velocity - New Business","55.00","19110","55.0000000000","","Closed Lost","Website","10000000","Software/Technology","Director of Growth Marketing","7/1/2021","Zac Kyle","Inbound"
"Lee Kum Kee","Lee Kum Kee USA-","Q3-2021","","Commercial Velocity - New Business","57.00","13377","57.0000000000","","SDR Nurture","The Manifest","4500000000","Food/Beverage","Spin Instructor","7/1/2021","Zac Kyle","Inbound"
"MOJO Sports Inc.","MOJO Sports-","Q3-2021","","Commercial Velocity - New Business","57.00","10000","57.0000000000","","Disqualified","Website","","Health/Wellness","Brand + Marketing","7/1/2021","Zac Kyle","Inbound"
"Big River Services Deutschland GmbH","Not So Ape-","Q3-2021","","Commercial Velocity - New Business","57.00","10000","57.0000000000","","Disqualified","Website","","Software/Technology","","7/15/2021","Zac Kyle","Inbound"
"California Center for the Arts, Escondido","California Center for the Arts-","Q3-2021","","Commercial Velocity - New Business","60.00","10000","60.0000000000","","Disqualified","Website","12648000","Software/Technology","Associate Executive Director / COO","7/15/2021","Zac Kyle","Inbound"
"Carbon Lighthouse","Carbon Lighthouse","Q3-2021","","Commercial Velocity - New Business","63.00","0","63.0000000000","","Disqualified","Website","50000000","Biotech","Director of Product Marketing","7/1/2021","Zac Kyle","Inbound"
"IRIS Software Group","Iris HR Consulting-","Q3-2021","","Commercial Velocity - New Business","64.00","5000","64.0000000000","","Disqualified","Website","104928000","Software/Technology","Senior Sales Manager HCM North America","7/15/2021","Zac Kyle","Inbound"
"Jungo","Jungo-","Q3-2021","","Commercial Velocity - New Business","64.00","10000","64.0000000000","","Disqualified","Website","10000000","Software/Technology","Director of Sales & Customer Success","7/15/2021","Zac Kyle","Inbound"
"Agent-Link","Agent-Link-","Q3-2021","","Commercial Velocity - New Business","67.00","5000","67.0000000000","","Disqualified","Clutch","","Software/Technology","Co-Founder","7/30/2021","Zac Kyle","Inbound"
"Connetics USA Nursing","Connetics USA-","Q3-2021","","Commercial Velocity - New Business","70.00","10000","70.0000000000","","Disqualified","Website","341000","Healthcare","Marketing Director","7/15/2021","Zac Kyle","Inbound"
"Grown Strong","Grown Strong-","Q3-2021","","Commercial Velocity - New Business","70.00","5000","70.0000000000","","Disqualified","Website","","Fitness","","7/30/2021","Zac Kyle","Inbound"
"Pesto","Pragli.com-","Q3-2021","","Commercial Velocity - New Business","74.00","2000","74.0000000000","","Disqualified","Website","1000000","Software/Technology","Scout","7/30/2021","Zac Kyle","Inbound"
"Justworks","Justworks-","Q3-2021","","Commercial Velocity - New Business","74.00","20000","74.0000000000","","Disqualified","The Manifest","80000000","Software/Technology","Public Relations Associate","7/31/2021","Zac Kyle","Inbound"
"Altissia","Altissia-","Q3-2021","","Commercial Velocity - New Business","75.00","5000","75.0000000000","","Disqualified","Clutch","7000000","Software/Technology","Internal & External Communication manager","7/31/2021","Zac Kyle","Inbound"
"vPhrase Analytics Solutions","vPhrase Analytics Solutions","Q3-2021","","Commercial Velocity - New Business","76.00","10000","76.0000000000","","Closed Lost","Clutch","10000000","Software/Technology","Marketing Manager","7/1/2021","Zac Kyle","Inbound"
"KimboCare","Kimbo Care-","Q3-2021","","Commercial Velocity - New Business","77.00","2000","77.0000000000","","Disqualified","Website","","Health/Wellness","","7/30/2021","Zac Kyle","Inbound"
"Bounce Debt Relief","Bounce Debt Relief-","Q3-2021","","Commercial Velocity - New Business","79.00","5000","79.0000000000","","Disqualified","Clutch","","Software/Technology","","7/31/2021","Zac Kyle","Inbound"
"Whiteboard Risk & Insurance Solutions","Whiteboard Risk & Insurance Solutions-","Q3-2021","","Commercial Velocity - New Business","79.00","2000","79.0000000000","","Disqualified","Website","7639000","Software/Technology","Managing Partner","7/31/2021","Zac Kyle","Inbound"
"Twism","Twism","Q3-2021","","Commercial Velocity - New Business","80.00","1000","80.0000000000","","Disqualified","Website","1000000","Software/Technology","","7/15/2021","Zac Kyle","Inbound"
"Avia Dental","Avia Dental-","Q3-2021","","Commercial Velocity - New Business","80.00","50000","80.0000000000","","Closed Lost","Website","1000000","Healthcare","","7/15/2021","Zac Kyle","Inbound"
"Mclean Intelligent Workforce","Mclean Intelligent Workforce-","Q3-2021","","Commercial Velocity - New Business","80.00","10000","80.0000000000","","Disqualified","Clutch","10000000","Software/Technology","Director, Account Acquisition and Management","7/31/2021","Zac Kyle","Inbound"
"AllenComm","AllenComm-","Q3-2021","","Commercial Velocity - New Business","81.00","0","81.0000000000","","Disqualified","Website","15000000","Software/Technology","Marketing Communication Manager","7/31/2021","Zac Kyle","Inbound"
"UFC GYM","UFC GYM-","Q3-2021","","Commercial Velocity - New Business","84.00","15000","84.0000000000","","Closed Lost","Website","","Fitness","","7/1/2021","Zac Kyle","Inbound"
"Yalwa GmbH","Yalwa-","Q3-2021","","Commercial Velocity - New Business","87.00","7500","87.0000000000","","Disqualified","Website","2400000","Computer Software","Brand Manager","7/31/2021","Zac Kyle","Inbound"
"NeilMed Pharmaceuticals","NeilMed Pharmaceuticals Inc.-","Q3-2021","","Commercial Velocity - New Business","94.00","15000","94.0000000000","","Disqualified","Website","4513000","Health/Wellness","Web & Digital Marketing Manager","7/1/2021","Zac Kyle","Inbound"
"Kostynuik.com","Kostynuik.com-","Q3-2021","","Commercial Velocity - New Business","108.00","58188","108.0000000000","","AE Nurture","Website","","Consumer Finance","","7/15/2021","Zac Kyle","Inbound"
"Filmio","Filmio","Q3-2021","","Commercial Velocity - New Business","142.00","10000","142.0000000000","","SDR Nurture","Website","10000000","","","7/2/2021","Zac Kyle","Inbound"
"Smart Compass","Smart Compass-","Q3-2021","","Commercial Velocity - New Business","51.00","12000","51.0000000000","","Disqualified","Employee Referral","","Software/Technology","Creative Intern","7/15/2021","Zac Kyle","Outbound"
"Omniscient","Omniscient","Q3-2021","","Commercial Velocity - New Business","83.00","10000","83.0000000000","","Disqualified","Outbound","","Software/Technology","","7/15/2021","Zac Kyle","Outbound"
"HOVER-1","HOVER-1-","Q3-2021","","Commercial Velocity - New Business","85.00","15000","85.0000000000","","AE Nurture","Employee Referral","","Electronics","VP/GMM","7/15/2021","Zac Kyle","Outbound"
"Gino's Website","Gino's Website","Q3-2021","","Commercial Velocity - New Business","105.00","60000","105.0000000000","","Disqualified","Employee Referral","","Healthcare","","7/1/2021","Zac Kyle","Outbound"
"Amazin'? Graze","Amazin' Graze-","Q3-2021","","Commercial Velocity - New Business","113.00","15000","113.0000000000","","AE Nurture","SDR Outbound","10000000","Food/Beverage","CEO","7/15/2021","Zac Kyle","Outbound"
"Prolitec Inc.","Aera For Home-","Q3-2021","","Commercial Velocity - New Business","35.00","37702","35.0000000000","","Closed Won","Referral Partner","11420000","Home/Personal Products","","8/27/2021","Alex Serna","Channel Partner"
"Alexa Kelley","Alexa Kelley-","Q3-2021","","Commercial Velocity - New Business","40.00","1000","40.0000000000","","AE Nurture","Website","","Apparel","","8/1/2021","Alex Serna","Inbound"
"Alltech","Alltech","Q3-2021","","Commercial Velocity - New Business","49.00","2000","49.0000000000","","Disqualified","Website","1500000000","Pet","","8/31/2021","Alex Serna","Inbound"
"Tooth & Nail Wine Co","Tooth & Nail Wine-","Q3-2021","","Commercial Velocity - New Business","52.00","12000","52.0000000000","","SDR Nurture","Internal Marketing","","Food/Beverage","Director of Marketing","8/6/2021","Alex Serna","Inbound"
"The Joker Club","The Joker Club","Q3-2021","","Commercial Velocity - New Business","55.00","1000","55.0000000000","","Disqualified","Website","","","","8/31/2021","Alex Serna","Inbound"
"Black Girl Sunscreen","Black Girl Sunscreen-","Q3-2021","","Commercial Velocity - New Business","42.00","0","42.0000000000","","AE Nurture","SDR Outbound","","Beauty","Owner | Founder","8/2/2021","Alex Serna","Outbound"
"11 Honoré","11 Honore","Q3-2021","","Rapid Growth Brands - New Business","-20.00","7000","0.0000000000","","Closed Lost","Current Client","10000000","Apparel","","8/10/2021","Ben Rogers","Channel Partner"
"11 Honoré","11 Honore","Q3-2021","","Rapid Growth Brands - New Business","9.00","13965","9.0000000000","","Closed Won","Current Client","10000000","Apparel","","8/10/2021","Ben Rogers","Channel Partner"
"Life Walker","Life Walker","Q3-2021","","Commercial Velocity - New Business","132.00","5000","132.0000000000","","AE Nurture","Referral Partner","","Healthcare","CEO","8/1/2021","Ben Rogers","Channel Partner"
"Walnut Creek HerbNJoy","HerbNJoy-","Q3-2021","","Rapid Growth Brands - New Business","1.00","1000","1.0000000000","","Disqualified","Clutch","","CBD","","8/25/2021","Ben Rogers","Inbound"
"the morphing company","the morphing company-","Q3-2021","","Rapid Growth Brands - New Business","2.00","1000","2.0000000000","","Disqualified","Website","","Apparel","Co-Founder","8/26/2021","Ben Rogers","Inbound"
"DBMK LLC","DBMK LLC-","Q3-2021","","Commercial Velocity - New Business","4.00","1000","4.0000000000","","Disqualified","Clutch","","Apparel","","8/17/2021","Ben Rogers","Inbound"
"Nicole Frank TWE","Nicole Frank TWE","Q3-2021","","Commercial Velocity - New Business","25.00","1000","25.0000000000","","Disqualified","Website","","Retail","","8/1/2021","Ben Rogers","Inbound"
"Ripl Efek","Ripl Efek","Q3-2021","","Commercial Velocity - New Business","25.00","15000","25.0000000000","","Disqualified","Website","","Retail","","8/1/2021","Ben Rogers","Inbound"
"Omni Tax Help","Omni Tax Help-","Q3-2021","","Rapid Growth Brands - New Business","57.00","5000","57.0000000000","","Disqualified","Clutch","6809000","Consumer Finance","Production Manager","8/12/2021","Ben Rogers","Inbound"
"Paramount Sleep","Paramount Sleep Comapny-","Q3-2021","","Commercial Velocity - New Business","70.00","1000","70.0000000000","","Disqualified","Website","70000000","Home/Personal Products","Marketing Manager","8/19/2021","Ben Rogers","Inbound"
"Northern Brewer","Northern Brewer-","Q3-2021","","Commercial Velocity - New Business","81.00","15000","81.0000000000","","AE Nurture","Website","34000000","Home/Personal Products","President","8/1/2021","Ben Rogers","Inbound"
"SERINO","Everyday NYC-","Q3-2021","","Commercial Velocity - New Business","84.00","0","84.0000000000","","SDR Nurture","Website","","Apparel","","8/6/2021","Ben Rogers","Inbound"
"Swet Tailor","Swet Tailor-","Q3-2021","","Commercial Velocity - New Business","117.00","10000","117.0000000000","","AE Nurture","Website","","Apparel","CEO / Co-Owner","8/1/2021","Ben Rogers","Inbound"
"Azure High School","Azure High School-","Q3-2021","","Commercial Velocity - New Business","77.00","0","77.0000000000","","SDR Nurture","SDR Nurture","","Non-Profit","Chief Executive Officer","8/6/2021","Ben Rogers","Outbound"
"Saturdays NYC","Saturdays NYC","Q3-2021","","Commercial Velocity - New Business","89.00","5000","89.0000000000","","SDR Nurture","SDR Outbound","5952000","Apparel","Chief Operating Officer","8/2/2021","Ben Rogers","Outbound"
"The Plug Drink","The Plug","Q3-2021","","Commercial Velocity - New Business","173.00","1000","173.0000000000","","AE Nurture","Outbound","","","","8/1/2021","Ben Rogers","Outbound"
"Greenstar Solar Group","Greenstar Solar","Q3-2021","","Rapid Growth Brands - New Business","186.00","7500","186.0000000000","","Disqualified","Outbound","","","","8/6/2021","Ben Rogers","Outbound"
"FreshRealm","FreshRealm","Q3-2021","","Commercial Velocity - New Business","40.00","50000","40.0000000000","","Closed Lost","Referral Partner","","Food/Beverage","","8/2/2021","Brittany Arnold","Channel Partner"
"Astarté Cosmetics Inc","Astarté Cosmetics Inc","Q3-2021","","Commercial Velocity - New Business","25.00","15000","25.0000000000","","Disqualified","Website","1000000","Beauty","","8/1/2021","Brittany Arnold","Inbound"
"essential home remodeling","essential home remodeling-","Q3-2021","","Commercial Velocity - New Business","34.00","0","34.0000000000","","Disqualified","Clutch","","Home Services","Founder/CEO","8/2/2021","Brittany Arnold","Inbound"
"La Jolla Skin Studio","La Jolla Skin Studio-","Q3-2021","","Commercial Velocity - New Business","33.00","0","33.0000000000","","Disqualified","Employee Referral","","Beauty","","8/2/2021","Brittany Arnold","Outbound"
"BYRD Hairdo Products","BYRD Hairdo Products-","Q3-2021","","Commercial Velocity - New Business","35.00","0","35.0000000000","","Disqualified","SDR Outbound","2400000","Beauty","Founder / CEO","8/2/2021","Brittany Arnold","Outbound"
"Love Wellness","Love Wellness-","Q3-2021","","Commercial Velocity - New Business","49.00","0","49.0000000000","","SDR Nurture","SDR Outbound","10000000","Health/Wellness","President","8/2/2021","Brittany Arnold","Outbound"
"Sama","Sama Email","Q3-2021","","Rapid Growth Brands - New Business","-7.00","7712","0.0000000000","","Closed Won","Referral Partner","","Unknown","","8/15/2021","Connor Sanner","Channel Partner"
"Thin Optics","Thin Optics","Q3-2021","","Rapid Growth Brands - New Business","40.00","11405","40.0000000000","","Closed Won","Current Client","","","","8/20/2021","Connor Sanner","Channel Partner"
"Sama","Sama","Q3-2021","","Rapid Growth Brands - New Business","64.00","15362","64.0000000000","","Closed Won","Referral Partner","","Unknown","","8/18/2021","Connor Sanner","Channel Partner"
"quip.","Quip-","Q3-2021","","Rapid Growth Brands - New Business","98.00","93697","98.0000000000","","Closed Won","Referral Partner","50000000","Fitness","","8/31/2021","Connor Sanner","Channel Partner"
"Sigma Beauty","Sigma Beauty","Q3-2021","","Brand Strategy - New Business","21.00","50000","21.0000000000","","SDR Nurture","Employee Referral","1000000","Beauty","","8/2/2021","Connor Sanner","Outbound"
"Love Sweat Fitness","LoveSweatFitness","Q3-2021","","Brand Strategy - New Business","31.00","6689","31.0000000000","","Disqualified","Employee Referral","","","","8/9/2021","Connor Sanner","Outbound"
"Cove Hill Partners","Covehill CPOMS Assessment","Q3-2021","","Strategic Accounts - New Business","0.00","5580","0.0000000000","","Closed Won","Referral Partner","22140000","Unknown","","8/23/2021","Corey Eulas","Channel Partner"
"Restoration Local","Restoration Local","Q3-2021","","Strategic Accounts - New Business","18.00","50000","18.0000000000","","Closed Lost","Referral Partner","10000000","","","8/27/2021","Corey Eulas","Channel Partner"
"Chrono24 GmbH","Chrono24","Q3-2021","","Strategic Accounts - New Business","18.00","1000","18.0000000000","","Closed Lost","Referral Partner","50000000","Luxury Goods & Jewelry","","8/27/2021","Corey Eulas","Channel Partner"
"Inman News","Inman","Q3-2021","","Strategic Accounts - New Business","22.00","1000","22.0000000000","","Closed Lost","Referral Partner","10000000","Real Estate","","8/27/2021","Corey Eulas","Channel Partner"
"LLC University","LLC University","Q3-2021","","Strategic Accounts - New Business","25.00","6904","25.0000000000","","Closed Lost","Referral Partner","10000000","Legal Services","","8/27/2021","Corey Eulas","Channel Partner"
"Gig Salad","GigSalad","Q3-2021","","Strategic Accounts - New Business","39.00","11141","39.0000000000","","Closed Won","Referral Partner","10000000","Entertainment","","8/20/2021","Corey Eulas","Channel Partner"
"Care/Of","Care/of","Q3-2021","","Strategic Accounts - New Business","46.00","1000","46.0000000000","","Closed Lost","Referral Partner","10000000","Health, Wellness and Fitness","","8/27/2021","Corey Eulas","Channel Partner"
"PeelAway","PeelAway","Q3-2021","","Strategic Accounts - New Business","46.00","1000","46.0000000000","","Closed Lost","Referral Partner","1000000","","","8/27/2021","Corey Eulas","Channel Partner"
"JDS Therapeutics LLC","BonafideHealth","Q3-2021","","Strategic Accounts - New Business","46.00","18480","46.0000000000","","Closed Lost","Referral Partner","50000000","Pharmaceuticals","","8/27/2021","Corey Eulas","Channel Partner"
"JigSawTrading","JigSawTrading","Q3-2021","","Strategic Accounts - New Business","46.00","1000","46.0000000000","","Closed Lost","Referral Partner","1000000","Financial Services","","8/27/2021","Corey Eulas","Channel Partner"
"Tempo.fit","Tempo.Fit","Q3-2021","","Strategic Accounts - New Business","68.00","1000","68.0000000000","","Closed Lost","Referral Partner","","Unknown","","8/1/2021","Corey Eulas","Channel Partner"
"EverNow","EverNow","Q3-2021","","Strategic Accounts - New Business","72.00","11327","72.0000000000","","Closed Lost","Referral Partner","","Unknown","","8/1/2021","Corey Eulas","Channel Partner"
"Pvteyes","pvteyes","Q3-2021","","Strategic Accounts - New Business","77.00","1000","77.0000000000","","Closed Lost","Referral Partner","10000000","Unknown","","8/27/2021","Corey Eulas","Channel Partner"
"Auraglow","Auraglow","Q3-2021","","Strategic Accounts - New Business","77.00","6757","77.0000000000","","Closed Lost","Referral Partner","","Unknown","","8/27/2021","Corey Eulas","Channel Partner"
"Carie","Carie","Q3-2021","","Strategic Accounts - New Business","448.00","5000","448.0000000000","","Closed Lost","Referral Partner","10000000","","","8/27/2021","Corey Eulas","Channel Partner"
"Dwellful","Dwellful","Q3-2021","","Strategic Accounts - New Business","14.00","14896","14.0000000000","","Closed Won","Website","1308000","Real Estate","Chief Marketing Officer","8/16/2021","Corey Eulas","Inbound"
"Compare The Market Australia","Compare The Market Australia","Q3-2021","","Strategic Accounts - New Business","67.00","5000","67.0000000000","","Closed Lost","Website","50000000","Consumer Finance","","8/27/2021","Hannah Underhill","Inbound"
"Fountain","Fountain","Q3-2021","","Strategic Accounts - New Business","81.00","5000","81.0000000000","","Closed Lost","Website","1000000","Computer Software","","8/27/2021","Hannah Underhill","Inbound"
"Verticale","Verticale - Paid Social, Creative, Paid Search","Q3-2021","","Rapid Growth Brands - New Business","28.00","1000","28.0000000000","","Disqualified","Referral Partner","","","","8/31/2021","Jake Mehani","Channel Partner"
"Upfront","Upfront","Q3-2021","","Rapid Growth Brands - New Business","33.00","15000","33.0000000000","","Closed Lost","Referral Partner","","","","8/31/2021","Jake Mehani","Channel Partner"
"Cooks Venture","Cooks Venture","Q3-2021","","Rapid Growth Brands - New Business","45.00","10416","45.0000000000","","Closed Won","Referral Partner","","Unknown","","8/12/2021","Jake Mehani","Channel Partner"
"Trifecta Inc","Trifecta Nutrition - Paid Social","Q3-2021","","Rapid Growth Brands - New Business","53.00","15000","53.0000000000","","AE Nurture","Facebook Israel","10000000","Food/Beverage","","8/31/2021","Jake Mehani","Channel Partner"
"Pledge","Pledge","Q3-2021","","Rapid Growth Brands - New Business","59.00","1000","59.0000000000","","Disqualified","Referral Partner","3000000","Non-Profit","","8/1/2021","Jake Mehani","Channel Partner"
"AF Ventures","AF Ventures","Q3-2021","","Rapid Growth Brands - New Business","99.00","1000","99.0000000000","","Disqualified","Referral Partner","","Unknown","","8/31/2021","Jake Mehani","Channel Partner"
"Willow Growth Partners","Willow Growth Partners","Q3-2021","","Rapid Growth Brands - New Business","111.00","1000","111.0000000000","","Disqualified","Referral Partner","","Unknown","","8/31/2021","Jake Mehani","Channel Partner"
"SCANDIBØRN LIMITED","Scandiborn","Q3-2021","","Rapid Growth Brands - New Business","160.00","15000","160.0000000000","","Closed Lost","Referral Partner","","","","8/1/2021","Jake Mehani","Channel Partner"
"TaoBase, Inc","TaoBase","Q3-2021","","Commercial Velocity - New Business","25.00","15000","25.0000000000","","Disqualified","Website","","Food/Beverage","","8/1/2021","Jake Mehani","Inbound"
"Winston Pies","Winston Pies","Q3-2021","","Rapid Growth Brands - New Business","41.00","1000","41.0000000000","","Disqualified","Website","10000000","","","8/31/2021","Jake Mehani","Inbound"
"Bloch World","Bloch World","Q3-2021","","Rapid Growth Brands - New Business","70.00","15000","70.0000000000","","Disqualified","Website","50000000","Unknown","","8/31/2021","Jake Mehani","Inbound"
"Icebreaker","Icebreaker","Q3-2021","","Rapid Growth Brands - New Business","82.00","15000","82.0000000000","","Closed Lost","Website","1000000","Apparel","","8/31/2021","Jake Mehani","Inbound"
"Plant Camp","Plant Camp","Q3-2021","","Rapid Growth Brands - New Business","130.00","7500","130.0000000000","","SDR Nurture","Webinar","","Unknown","","8/31/2021","Jake Mehani","Inbound"
"Tucasa","Tucasa","Q3-2021","","Rapid Growth Brands - New Business","36.00","1000","36.0000000000","","Disqualified","","","","","8/31/2021","Jake Mehani","Other"
"Every Mother","Every Mother","Q3-2021","","Rapid Growth Brands - New Business","19.00","4650","19.0000000000","","Closed Won","Employee Referral","4627000","Health/Wellness","","8/31/2021","Jake Mehani","Outbound"
"3xT","Team 3xT GA Project","Q3-2021","","Commercial Velocity - New Business","-1.00","1250","0.0000000000","","Closed Won","Employee Referral","","Health/Wellness","","8/23/2021","Jeff Mason","Outbound"
"Bokksu","Booksu-","Q3-2021","","Commercial Velocity - New Business","142.00","0","142.0000000000","","SDR Nurture","Referral Partner","3500000","Food/Beverage","Founder & CEO","8/1/2021","Jenny Silva","Channel Partner"
"In Good Taste","In Good Taste-","Q3-2021","","Commercial Velocity - New Business","112.00","0","112.0000000000","","SDR Nurture","Website","","Food/Beverage","Technical Partnerships","8/13/2021","Jenny Silva","Inbound"
"good culture","Good Culture","Q3-2021","","Commercial Velocity - New Business","95.00","10000","95.0000000000","","SDR Nurture","SDR Outbound","11999000","Food & Beverages","","8/6/2021","Jenny Silva","Outbound"
"JOJO's Chocolate","JOJO's Chocolate","Q3-2021","","Brand Strategy - New Business","18.00","10000","213.0000000000","","Reschedule","Referral Partner","4386000","Food/Beverage","","8/2/2021","Kelsey BOSman","Channel Partner"
"Fig - Food Is Good","FIG","Q3-2021","","Brand Strategy - New Business","20.00","15000","202.0000000000","","Reschedule","Referral Partner","","Food/Beverage","","8/15/2021","Kelsey BOSman","Channel Partner"
"Sea to Table","Sea2Table-","Q3-2021","","Brand Strategy - New Business","89.00","10000","89.0000000000","","AE Nurture","Referral Partner","2610000","Food & Beverages","Founder & CEO","8/31/2021","Kira Tirshfield","Channel Partner"
"Mademoiselle Lash","Mademoiselle Lash-","Q3-2021","","Brand Strategy - New Business","6.00","1000","6.0000000000","","Disqualified","Covet - Website Lead","","Beauty","Creative Director","8/17/2021","Kira Tirshfield","Inbound"
"Windsor Fashions","Windsor Fashion-","Q3-2021","","Brand Strategy - New Business","20.00","1000","20.0000000000","","Disqualified","Clutch","3196000","Apparel","President","8/31/2021","Kira Tirshfield","Inbound"
"Breathwrk Inc.","Breathwrk","Q3-2021","","Brand Strategy - New Business","35.00","15000","35.0000000000","","AE Nurture","Covet - Website Lead","","Health/Wellness","","8/20/2021","Kira Tirshfield","Inbound"
"House Of Spoils","House of Spoils","Q3-2021","","Brand Strategy - New Business","50.00","7448","50.0000000000","","AE Nurture","Covet - Website Lead","","","","8/31/2021","Kira Tirshfield","Inbound"
"PlantPaper","PlantPaper-","Q3-2021","","Brand Strategy - New Business","82.00","5000","82.0000000000","","Disqualified","Website","","Home/Personal Products","Creative Director","8/31/2021","Kira Tirshfield","Inbound"
"Women Impact Tech","Women Impact Tech-","Q3-2021","","Brand Strategy - New Business","96.00","5000","96.0000000000","","Disqualified","The Manifest","","Software/Technology","","8/31/2021","Kira Tirshfield","Inbound"
"Strong + Sexy Fit","Strong + Sexy Fit-","Q3-2021","","Brand Strategy - New Business","99.00","0","99.0000000000","","Disqualified","Covet - Website Lead","","Fitness","Advisor","8/31/2021","Kira Tirshfield","Inbound"
"Marquis","Marquis","Q3-2021","","Brand Strategy - New Business","157.00","9031","157.0000000000","","Closed Won","Covet - Website Lead","10000000","Unknown","","8/13/2021","Kira Tirshfield","Inbound"
