"Account Name","Opportunity Name","Fiscal Period","Next Step","Type","Deal Velocity","Monthly Deal Value (Gross Profit)","Age","Appraisal Start Date","Stage","Lead Source","Annual Revenue","Industry","Contact: Title","Close Date","Opportunity Owner","Lead Source Category"
"Packlane","Packlane","Q1-2021","","Commercial Velocity - New Business","69.00","7166","69.0000000000","","Closed Won","Website","","","","2/9/2021","Universal Sales Rep","Inbound"
"Right Device","Right Device","Q1-2021","","Commercial Velocity - New Business","28.00","4000","28.0000000000","","Closed Lost","Employee Referral","","","","2/4/2021","Universal Sales Rep","Outbound"
"Spotterfish","Spotterfish","Q1-2021","","Commercial Velocity - New Business","45.00","4000","45.0000000000","","Closed Lost","Employee Referral","","","","2/21/2021","Universal Sales Rep","Outbound"
"Satori Tech","Satori Tech","Q1-2021","","Commercial Velocity - New Business","59.00","5812","59.0000000000","","Closed Lost","Employee Referral","","","","2/15/2021","Universal Sales Rep","Outbound"
"Little By Little","Little By Little","Q1-2021","","Commercial Velocity - New Business","65.00","13900","65.0000000000","","Closed Won","Employee Referral","","","","2/11/2021","Universal Sales Rep","Outbound"
"Kimball International Inc","Kimball B2B","Q1-2021","","Commercial Velocity - New Business","84.00","10000","84.0000000000","","Closed Lost","Employee Referral","1000000000","Furniture","","2/26/2021","Universal Sales Rep","Outbound"
"WP Law","WP Law","Q1-2021","","Commercial Velocity - New Business","42.00","15000","42.0000000000","","Disqualified","Referral Partner","","","","2/28/2021","Zac Kyle","Channel Partner"
"Great Lakes Dental Technologies","Great Lakes Dental","Q1-2021","","Commercial Velocity - New Business","47.00","17088","47.0000000000","","Closed Won","Referral Partner","51143000","Vitamins, Supplements & Health Stores","","2/3/2021","Zac Kyle","Channel Partner"
"TBT (The Basketball Tournament)","TBT (The Basketball Tournament","Q1-2021","","Commercial Velocity - New Business","80.00","65000","80.0000000000","","Closed Lost","Employee Referral","","","","2/1/2021","Zac Kyle","Outbound"
"Sunroad Auto","Sunroad Auto","Q1-2021","","Commercial Velocity - New Business","87.00","3000","87.0000000000","","Closed Lost","Employee Referral","","","","2/1/2021","Zac Kyle","Outbound"
"Native","Native","Q1-2021","","Commercial Velocity - New Business","176.00","7500","176.0000000000","","Closed Lost","Employee Referral","","","","2/15/2021","Zac Kyle","Outbound"
"El Kapitan","El Kapitan","Q1-2021","","Commercial Velocity - New Business","217.00","3500","217.0000000000","","Closed Lost","Outbound","","","","2/1/2021","Zac Kyle","Outbound"
"Bassett Creek Capital","Bassett Creek Capital","Q1-2021","","Commercial Velocity - New Business","0.00","1225","0.0000000000","","Closed Won","Referral Partner","","Unknown","","3/15/2021","Alexa Engelhart","Channel Partner"
"Santa Monica Seafood Company","Santa Monica Seafood","Q1-2021","","Commercial Velocity - New Business","259.00","5000","259.0000000000","","SDR Nurture","Referral Partner","250000000","Retail","","3/1/2021","Alex Serna","Channel Partner"
"YMI Jeans","YMI Jeans","Q1-2021","","Commercial Velocity - New Business","266.00","2000","266.0000000000","","Disqualified","Referral Partner","50000000","Apparel & Fashion","","3/3/2021","Alex Serna","Channel Partner"
"Bhang CBD","Bhang CBD","Q1-2021","","Commercial Velocity - New Business","236.00","3000","236.0000000000","","Disqualified","Employee Referral","","","","3/31/2021","Alex Serna","Outbound"
"SoM","SoM-","Q1-2021","","Commercial Velocity - New Business","0.00","0","0.0000000000","","Disqualified","Website","","CBD","","3/31/2021","Ben Rogers","Inbound"
"Amberwing Organics","Amberwing Organics-","Q1-2021","","Commercial Velocity - New Business","11.00","1000","11.0000000000","","Disqualified","Website","","CBD","Director of Sales & Marketing","3/31/2021","Ben Rogers","Inbound"
